station_id,urbanization_bin
RSM00034880,8
RSM00034927,8
RSM00035121,6
RSM00037018,5
RSM00037099,7
RSM00037472,8
SIE00114956,2
SIM00014015,8
SP000003195,9
SP000004452,2
SP000006155,8
SP000008202,2
SP000008280,5
SP000009434,6
SP000009981,6
SP000060010,0
SPE00119711,7
SPE00119882,7
SPE00119909,6
SPE00119936,6
SPE00120035,5
SPE00120143,6
SPE00120287,8
SPE00120323,8
SPE00120332,7
SPE00120467,7
SPE00120512,6
SPE00120521,4
SPE00120593,8
SPE00120629,1
SPM00008284,8
SPM00008359,8
SPW00014010,6
SW000002590,4
SW000008525,5
SW000024180,6
SWE00137686,4
SWE00138226,5
SWE00138228,2
SWE00138464,5
SWE00139028,5
SWE00139148,7
SWE00139172,5
SWM00002485,8
SZ000001940,9
SZ000002220,0
SZ000003700,9
SZ000006717,0
SZ000009480,7
SZE00001641,4
SZE00001644,7
SZE00001645,2
SZE00001647,2
SZE00001648,1
SZE00001652,5
SZE00001656,5
SZE00001657,2
SZE00105086,7
TSM00060715,9
TX000038507,5
TX000038687,8
TX000038763,6
TX000038880,8
TX000038895,7
TX000038987,3
UK000000000,9
UK000003026,0
UK000003162,0
UK000047811,4
UK000056225,7
UK000070765,2
UKM00003091,6
UKM00003827,7
UKM00003917,4
UKN00000326,6
UKN00000516,9
UKN00000671,4
UKN00055827,0
UKXLT476306,7
UPM00033345,8
UPM00033393,8
UPM00033506,8
UPM00033587,6
UPM00033837,8
UPM00033946,0
UPM00033976,6
UPM00033983,5
UPM00034300,8
UPM00034523,8
USC00011694,4
USC00013160,0
USC00017157,6
USC00017304,5
USC00018024,5
USC00018323,5
USC00018380,7
USC00018469,2
USC00023160,0
USC00026796,7
USC00027281,0
USC00027390,4
USC00027435,2
USC00028619,2
USC00028815,9
USC00029334,3
USC00029359,2
USC00031152,4
USC00031596,8
USC00031632,2
USC00031838,6
USC00032930,2
USC00033428,3
USC00033734,7
USC00034572,2
USC00034638,2
USC00034756,4
USC00035186,4
USC00035754,7
USC00035820,4
USC00035866,0
USC00035908,2
USC00036506,6
USC00036928,2
USC00038052,4
USC00040693,9
USC00041912,3
USC00042239,0
USC00042294,6
USC00042319,0
USC00043157,0
USC00043747,8
USC00043875,5
USC00043939,0
USC00044025,6
USC00044890,1
USC00044997,8
USC00045123,8
USC00045532,7
USC00046074,7
USC00046136,5
USC00046399,4
USC00046506,5
USC00046508,0
USC00046719,9
USC00046730,6
USC00046826,7
USC00047306,9
USC00047643,4
USC00047738,9
USC00047851,6
USC00047902,8
USC00047916,8
USC00047965,9
USC00048758,2
USC00049367,9
USC00049473,7
USC00049699,0
USC00049866,4
USC00050848,8
USC00051121,3
USC00051294,7
USC00051528,0
USC00051564,1
USC00051959,2
USC00052281,4
USC00053005,9
USC00053486,8
USC00053662,4
USC00053867,1
USC00053951,0
USC00054770,4
USC00054834,2
USC00055722,7
USC00056266,3
USC00057167,3
USC00057656,0
USC00057936,5
USC00058204,1
USC00058429,4
USC00058839,2
USC00067970,7
USC00068138,3
USC00072730,7
USC00079605,8
USC00082229,7
USC00083163,9
USC00084289,6
USC00084731,5
USC00087020,8
USC00087205,7
USC00087851,4
USC00088756,4
USC00088824,8
USC00088942,6
USC00090140,7
USC00091982,3
USC00092966,3
USC00093621,7
USC00093754,2
USC00094133,5
USC00096335,3
USC00097600,6
USC00099141,2
USC00099157,2
USC00100010,2
USC00100470,0
USC00101408,1
USC00102845,2
USC00102942,5
USC00103732,1
USC00104831,2
USC00104845,3
USC00105275,0
USC00106152,5
USC00106542,1
USC00106891,5
USC00107264,1
USC00107386,0
USC00107673,0
USC00108062,2
USC00108080,3
USC00108137,5
USC00110072,2
USC00110338,9
USC00111265,5
USC00111436,5
USC00111584,9
USC00112140,7
USC00112193,8
USC00112348,5
USC00112483,4
USC00112931,3
USC00113335,2
USC00114108,3
USC00114198,3
USC00114442,5
USC00114823,1
USC00115079,5
USC00115712,1
USC00115768,4
USC00115833,3
USC00115901,2
USC00115943,4
USC00116446,4
USC00116526,3
USC00116579,3
USC00116610,4
USC00116910,5
USC00118740,8
USC00118916,1
USC00119241,2
USC00119354,1
USC00120177,7
USC00120676,4
USC00120784,8
USC00121747,6
USC00121873,3
USC00123082,5
USC00123418,6
USC00123527,6
USC00123547,5
USC00124181,6
USC00124837,6
USC00125337,6
USC00126001,5
USC00126580,4
USC00126705,3
USC00127125,4
USC00127298,4
USC00127522,3
USC00127646,4
USC00127935,6
USC00127999,6
USC00128036,0
USC00129113,2
USC00129253,5
USC00129430,4
USC00129557,4
USC00129670,3
USC00130112,2
USC00130133,1
USC00130157,1
USC00130364,4
USC00130385,2
USC00130600,2
USC00130807,5
USC00131233,5
USC00131319,7
USC00131394,3
USC00131402,4
USC00131533,3
USC00131635,5
USC00132110,4
USC00132171,4
USC00132724,1
USC00132789,4
USC00132864,1
USC00132977,3
USC00132999,1
USC00133487,2
USC00133509,1
USC00133632,3
USC00134063,1
USC00134101,6
USC00134142,4
USC00134228,3
USC00134389,1
USC00134502,4
USC00134735,4
USC00134894,1
USC00135198,6
USC00135230,6
USC00135769,1
USC00135796,4
USC00135952,3
USC00136103,2
USC00136305,3
USC00136566,3
USC00136719,2
USC00137147,2
USC00137161,2
USC00137312,2
USC00137386,2
USC00137678,2
USC00137702,5
USC00137844,5
USC00137979,4
USC00138296,2
USC00138688,4
USC00138806,4
USC00139067,2
USC00139132,3
USC00140365,1
USC00141522,1
USC00141559,3
USC00141704,1
USC00141740,3
USC00141858,1
USC00142401,5
USC00142432,2
USC00142459,2
USC00142602,0
USC00142835,4
USC00142894,2
USC00143239,1
USC00143527,6
USC00143554,0
USC00143810,1
USC00143837,1
USC00143954,4
USC00144087,0
USC00144464,1
USC00144695,5
USC00144712,1
USC00144972,7
USC00145152,4
USC00145363,2
USC00145744,6
USC00145856,0
USC00146128,5
USC00146435,0
